,CF,prediction_wind_decision_tree,hour,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear,holiday_name_Christmas Day,holiday_name_Columbus Day,holiday_name_Labor Day,holiday_name_New Year's Day,holiday_name_Thanksgiving,holiday_name_Veterans Day
2019-08-07 00:00:00,0.6525241824765219,0.6507622371662718,0.0,2.0,3.0,8.0,2019.0,219.0,7.0,32.0,0,0,0,0,0,0
2019-08-07 01:00:00,0.6058515946355305,0.6069490126702618,1.0,2.0,3.0,8.0,2019.0,219.0,7.0,32.0,0,0,0,0,0,0
2019-08-07 02:00:00,0.5640936824705468,0.5691309985677199,2.0,2.0,3.0,8.0,2019.0,219.0,7.0,32.0,0,0,0,0,0,0
2019-08-07 03:00:00,0.5327205473332919,0.5423648611776419,3.0,2.0,3.0,8.0,2019.0,219.0,7.0,32.0,0,0,0,0,0,0
2019-08-07 04:00:00,0.4956080135470005,0.4908433691503744,4.0,2.0,3.0,8.0,2019.0,219.0,7.0,32.0,0,0,0,0,0,0
2019-08-07 05:00:00,0.4956080135470005,0.4908433691503744,4.0,2.0,3.0,8.0,2019.0,219.0,7.0,32.0,0,0,0,0,0,0
2019-08-07 06:00:00,0.38443872299894855,0.3890560713786205,6.0,2.0,3.0,8.0,2019.0,219.0,7.0,32.0,0,0,0,0,0,0
2019-08-07 07:00:00,0.322180554075823,0.33902890931642565,7.0,2.0,3.0,8.0,2019.0,219.0,7.0,32.0,0,0,0,0,0,0
2019-08-07 08:00:00,0.24354574325969902,0.25125597814386447,8.0,2.0,3.0,8.0,2019.0,219.0,7.0,32.0,0,0,0,0,0,0
2019-08-07 09:00:00,0.16610593920041256,0.14013677298941185,9.0,2.0,3.0,8.0,2019.0,219.0,7.0,32.0,0,0,0,0,0,0
2019-08-07 10:00:00,0.1121959864940673,0.09460729478973148,10.0,2.0,3.0,8.0,2019.0,219.0,7.0,32.0,0,0,0,0,0,0
2019-08-07 11:00:00,0.06688671622073558,0.07203564819732129,11.0,2.0,3.0,8.0,2019.0,219.0,7.0,32.0,0,0,0,0,0,0
2019-08-07 12:00:00,0.056737574328157944,0.056376254017016375,12.0,2.0,3.0,8.0,2019.0,219.0,7.0,32.0,0,0,0,0,0,0
2019-08-07 13:00:00,0.05741081757144668,0.07416188315007395,13.0,2.0,3.0,8.0,2019.0,219.0,7.0,32.0,0,0,0,0,0,0
2019-08-07 14:00:00,0.06678572973424228,0.07950119671053626,14.0,2.0,3.0,8.0,2019.0,219.0,7.0,32.0,0,0,0,0,0,0
